iter	Passed	Remaining
399	32995	49493
400	33112	49462
401	33204	49394
402	33405	49486
403	33479	49390
404	33567	49314
405	33680	49276
406	33761	49190
407	33840	49101
408	33939	49042
409	34019	48954
410	34103	48872
411	34198	48807
412	34272	48711
413	34346	48615
414	34422	48523
415	34499	48432
416	34571	48333
417	34660	48259
418	34755	48192
419	34843	48117
420	34947	48063
421	35025	47973
422	35097	47874
423	35170	47779
424	35251	47693
425	35332	47608
426	35416	47526
427	35501	47446
428	35574	47349
429	35648	47255
430	35732	47173
431	35836	47118
432	35929	47048
433	36026	46983
434	36110	46902
435	36201	46829
436	36266	46723
437	36387	46689
438	36542	46698
439	36625	46613
440	36742	46573
441	36819	46483
442	36926	46429
443	37000	46333
444	37073	46237
445	37147	46142
446	37248	46081
447	37341	46010
448	37417	45918
449	37487	45818
450	37586	45753
451	37657	45655
452	37735	45566
453	37818	45482
454	37902	45399
455	37979	45308
456	38048	45208
457	38121	45113
458	38191	45014
459	38267	44923
460	38341	44829
461	38415	44734
462	38487	44638
463	38567	44552
464	38667	44488
465	38770	44427
466	38840	44329
467	38943	44269
468	39028	44187
469	39115	44108
470	39186	44011
471	39264	43923
472	39334	43825
473	39411	43735
474	39485	43642
475	39576	43567
476	39663	43488
477	39779	43441
478	39896	43394
479	39967	43298
480	40046	43210
481	40127	43124
482	40200	43030
483	40287	42950
484	40378	42876
485	40476	42807
486	40563	42729
487	40650	42649
488	40721	42553
489	40850	42518
490	40942	42443
491	41020	42354
492	41123	42291
493	41256	42259
494	41333	42168
495	41407	42075
496	41490	41991
497	41565	41898
498	41641	41808
499	41717	41717
500	41804	41637
501	41872	41538
502	41938	41438
503	42021	41354
504	42092	41258
505	42164	41164
506	42242	41075
507	42317	40984
508	42402	40902
509	42479	40813
510	42559	40726
511	42635	40637
512	42764	40597
513	42855	40521
514	42923	40423
515	42997	40330
516	43076	40243
517	43191	40189
518	43279	40111
519	43358	40023
520	43451	39948
521	43518	39850
522	43600	39765
523	43688	39686
524	43778	39609
525	43913	39572
526	43984	39477
527	44070	39396
528	44150	39309
529	44224	39217
530	44299	39126
531	44380	39041
532	44446	38943
533	44515	38846
534	44598	38763
535	44672	38671
536	44744	38578
537	44825	38493
538	44896	38399
539	44980	38316
540	45083	38249
541	45166	38166
542	45252	38085
543	45327	37995
544	45443	37939
545	45531	37859
546	45629	37787
547	45740	37727
548	45820	37641
549	45894	37550
550	46004	37488
551	46097	37412
552	46173	37322
553	46256	37238
554	46360	37172
555	46542	37166
556	46624	37082
557	46695	36987
558	46766	36894
559	46837	36800
560	46914	36712
561	47016	36643
562	47094	36554
563	47171	36465
564	47240	36371
565	47306	36274
566	47390	36190
567	47474	36107
568	47566	36030
569	47640	35939
570	47714	35848
571	47790	35759
572	47886	35684
573	47958	35592
574	48039	35507
575	48172	35460
576	48265	35383
577	48349	35300
578	48441	35222
579	48524	35138
580	48617	35061
581	48743	35008
582	48821	34920
583	48896	34830
584	48998	34759
585	49096	34685
586	49183	34604
587	49288	34535
588	49402	34472
589	49529	34418
590	49624	34342
591	49712	34261
592	49806	34184
593	49891	34101
594	49963	34008
595	50041	33920
596	50115	33829
597	50203	33748
598	50285	33663
599	50371	33581
600	50447	33491
601	50529	33406
602	50618	33325
603	50696	33238
604	50783	33155
605	50865	33071
606	50941	32981
607	51043	32909
608	51115	32818
609	51193	32730
610	51261	32636
611	51372	32569
612	51468	32493
613	51543	32403
614	51632	32323
615	51725	32244
616	51817	32165
617	51910	32086
618	52004	32009
619	52087	31924
620	52176	31843
621	52258	31758
622	52355	31682
623	52430	31592
624	52504	31502
625	52604	31428
626	52720	31363
627	52810	31282
628	52883	31192
629	52957	31101
630	53031	31012
631	53118	30929
632	53214	30852
633	53313	30777
634	53385	30686
635	53463	30598
636	53545	30513
637	53635	30432
638	53766	30375
639	53859	30295
640	53928	30203
641	54010	30118
642	54094	30033
643	54169	29944
644	54249	29858
645	54365	29791
646	54462	29714
647	54540	29626
648	54613	29536
649	54701	29454
650	54795	29375
651	54880	29292
652	54977	29214
653	55096	29148
654	55212	29081
655	55312	29005
656	55385	28915
657	55458	28824
658	55530	28734
659	55597	28641
660	55703	28568
661	55782	28480
662	55868	28397
663	55939	28306
664	56028	28224
665	56098	28133
666	56170	28043
667	56253	27958
668	56337	27874
669	56416	27787
670	56503	27704
671	56593	27623
672	56698	27548
673	56786	27466
674	56856	27375
675	56924	27283
676	57002	27196
677	57072	27105
678	57147	27016
679	57241	26937
680	57324	26852
681	57421	26774
682	57498	26686
683	57571	26597
684	57762	26562
685	57845	26477
686	57913	26385
687	57989	26297
688	58078	26215
689	58172	26135
690	58270	26057
691	58402	25994
692	58472	25903
693	58559	25820
694	58649	25738
695	58724	25649
696	58807	25564
697	58891	25480
698	58973	25394
699	59048	25306
700	59120	25216
701	59190	25126
702	59292	25049
703	59422	24984
704	59508	24900
705	59600	24819
706	59679	24732
707	59756	24645
708	59823	24553
709	59921	24475
710	59985	24382
711	60057	24292
712	60130	24204
713	60218	24121
714	60298	24035
715	60365	23943
716	60439	23855
717	60517	23768
718	60600	23683
719	60717	23612
720	60815	23533
721	60893	23446
722	60979	23362
723	61079	23284
724	61152	23195
725	61234	23110
726	61312	23023
727	61383	22934
728	61480	22854
729	61557	22767
730	61642	22683
731	61773	22616
732	61860	22532
733	61951	22451
734	62044	22369
735	62143	22290
736	62219	22203
737	62291	22114
738	62363	22025
739	62451	21942
740	62529	21855
741	62602	21767
742	62672	21678
