iter	Passed	Remaining
402	8554	12672
403	8573	12647
404	8591	12622
405	8614	12602
406	8632	12577
407	8655	12559
408	8674	12535
409	8695	12513
410	8714	12488
411	8733	12464
412	8750	12437
413	8771	12415
414	8793	12395
415	8813	12373
416	8832	12349
417	8850	12323
418	8868	12297
419	8890	12277
420	8912	12256
421	8932	12234
422	8951	12211
423	8972	12189
424	8992	12166
425	9012	12143
426	9033	12122
427	9057	12105
428	9079	12085
429	9104	12068
430	9129	12052
431	9156	12039
432	9179	12020
433	9209	12010
434	9231	11990
435	9254	11971
436	9274	11948
437	9294	11925
438	9313	11901
439	9330	11875
440	9352	11854
441	9370	11830
442	9389	11806
443	9407	11780
444	9426	11756
445	9443	11730
446	9465	11710
447	9487	11689
448	9505	11664
449	9522	11638
450	9540	11613
451	9557	11587
452	9577	11565
453	9598	11543
454	9619	11522
455	9636	11496
456	9655	11472
457	9674	11448
458	9694	11426
459	9714	11403
460	9729	11376
461	9747	11350
462	9760	11320
463	9778	11296
464	9799	11274
465	9816	11248
466	9834	11223
467	9852	11199
468	9876	11182
469	9897	11161
470	9919	11141
471	9939	11118
472	9955	11092
473	9978	11073
474	9993	11045
475	10012	11022
476	10030	10998
477	10047	10972
478	10067	10950
479	10083	10924
480	10101	10899
481	10120	10876
482	10142	10856
483	10161	10833
484	10178	10808
485	10196	10783
486	10217	10763
487	10242	10745
488	10261	10722
489	10279	10699
490	10306	10683
491	10322	10657
492	10340	10634
493	10356	10607
494	10372	10582
495	10386	10554
496	10404	10529
497	10417	10501
498	10434	10476
499	10447	10447
500	10464	10422
501	10477	10394
502	10494	10369
503	10512	10345
504	10536	10327
505	10557	10306
506	10579	10287
507	10605	10271
508	10627	10251
509	10649	10231
510	10669	10209
511	10688	10187
512	10709	10167
513	10731	10147
514	10751	10124
515	10770	10102
516	10789	10080
517	10815	10063
518	10837	10044
519	10862	10026
520	10884	10006
521	10911	9992
522	10936	9974
523	10961	9957
524	10981	9936
525	11001	9914
526	11023	9893
527	11047	9875
528	11069	9855
529	11097	9840
530	11127	9828
531	11151	9810
532	11175	9792
533	11199	9773
534	11218	9750
535	11236	9727
536	11252	9701
537	11265	9674
538	11280	9647
539	11295	9621
540	11310	9596
541	11326	9570
542	11339	9543
543	11356	9519
544	11371	9493
545	11387	9468
546	11401	9441
547	11419	9419
548	11435	9394
549	11453	9370
550	11468	9345
551	11488	9323
552	11506	9301
553	11524	9277
554	11540	9252
555	11556	9228
556	11573	9204
557	11587	9178
558	11602	9153
559	11616	9127
560	11628	9099
561	11642	9073
562	11656	9048
563	11671	9022
564	11685	8997
565	11698	8970
566	11715	8947
567	11729	8920
568	11747	8898
569	11763	8874
570	11780	8850
571	11796	8826
572	11814	8804
573	11829	8779
574	11847	8756
575	11863	8733
576	11880	8709
577	11898	8687
578	11914	8663
579	11929	8638
580	11945	8614
581	11957	8588
582	11972	8563
583	11986	8538
584	12001	8513
585	12016	8489
586	12031	8464
587	12046	8440
588	12059	8415
589	12075	8391
590	12089	8366
591	12103	8341
592	12120	8318
593	12137	8296
594	12157	8275
595	12179	8256
596	12201	8236
597	12224	8217
598	12243	8196
599	12262	8174
600	12280	8152
601	12305	8135
602	12322	8112
603	12347	8095
604	12366	8074
605	12384	8051
606	12406	8032
607	12425	8011
608	12445	7990
609	12465	7969
610	12485	7949
611	12505	7928
612	12525	7907
613	12544	7886
614	12564	7865
615	12584	7845
616	12603	7823
617	12624	7803
618	12642	7781
619	12661	7760
620	12682	7740
621	12705	7721
622	12723	7699
623	12741	7677
624	12760	7656
625	12783	7637
626	12802	7616
627	12820	7594
628	12839	7573
629	12859	7552
630	12882	7533
631	12898	7510
632	12912	7486
633	12932	7466
634	12951	7444
635	12970	7423
636	12987	7400
637	13005	7379
638	13022	7357
639	13038	7334
640	13055	7311
641	13070	7288
642	13088	7266
643	13106	7244
644	13122	7222
645	13136	7198
646	13151	7175
647	13168	7153
648	13184	7130
649	13200	7108
650	13215	7085
651	13230	7061
652	13245	7038
653	13257	7013
654	13269	6989
655	13286	6967
656	13301	6944
657	13333	6930
658	13363	6915
659	13382	6894
660	13398	6871
661	13414	6849
662	13433	6828
663	13451	6806
664	13466	6783
665	13482	6761
666	13500	6740
667	13517	6718
668	13531	6695
669	13548	6672
670	13564	6651
671	13580	6628
672	13594	6605
673	13609	6582
674	13626	6561
675	13642	6538
676	13659	6517
677	13674	6494
678	13689	6471
679	13704	6449
680	13720	6426
681	13737	6405
682	13754	6383
683	13768	6361
684	13785	6339
685	13798	6315
686	13815	6294
687	13828	6271
688	13844	6249
689	13859	6226
690	13876	6205
691	13900	6186
692	13918	6165
693	13934	6143
694	13950	6122
695	13964	6099
696	13980	6077
697	13997	6056
698	14015	6035
699	14029	6012
700	14046	5991
701	14063	5969
702	14079	5948
703	14091	5924
704	14107	5903
705	14122	5881
706	14138	5859
707	14153	5837
708	14168	5815
709	14183	5793
710	14199	5771
711	14218	5751
712	14234	5729
713	14251	5708
714	14268	5687
715	14283	5665
716	14298	5643
717	14319	5624
718	14337	5603
719	14350	5580
720	14365	5558
721	14380	5537
722	14395	5515
723	14411	5494
724	14427	5472
725	14443	5451
726	14457	5429
727	14473	5407
728	14485	5384
729	14502	5363
730	14516	5341
731	14532	5320
732	14550	5300
733	14570	5280
734	14583	5257
735	14601	5237
736	14623	5218
737	14654	5202
738	14693	5189
739	14710	5168
740	14728	5148
741	14745	5127
742	14763	5106
743	14780	5085
744	14798	5065
745	14820	5045
746	14839	5026
747	14860	5006
748	14878	4986
749	14896	4965
750	14914	4944
751	14934	4925
752	14948	4903
753	14968	4883
754	14984	4862
755	15002	4841
756	15018	4821
757	15036	4800
758	15054	4780
759	15078	4761
760	15098	4741
761	15117	4721
762	15135	4701
763	15152	4680
764	15169	4659
765	15185	4639
766	15200	4617
767	15215	4596
768	15231	4575
769	15245	4553
770	15258	4532
771	15272	4510
772	15289	4489
773	15306	4469
774	15323	4448
775	15343	4429
776	15364	4409
777	15389	4391
778	15414	4373
779	15434	4353
780	15453	4333
781	15478	4314
782	15498	4295
783	15519	4275
784	15537	4255
785	15560	4236
786	15580	4216
787	15597	4196
788	15616	4176
789	15636	4156
790	15656	4136
791	15677	4117
792	15696	4097
793	15715	4077
794	15734	4057
795	15752	4037
796	15776	4018
797	15797	3998
798	15822	3980
799	15842	3960
800	15860	3940
801	15878	3920
802	15899	3900
803	15943	3886
804	15978	3870
805	15998	3850
806	16017	3830
807	16037	3810
808	16061	3792
809	16080	3771
810	16098	3751
811	16124	3733
812	16147	3714
813	16168	3694
814	16190	3675
815	16207	3654
816	16226	3634
817	16245	3614
818	16265	3594
819	16290	3575
820	16311	3556
821	16330	3536
822	16349	3516
823	16369	3496
824	16391	3477
825	16411	3457
826	16429	3436
827	16448	3416
828	16468	3397
829	16490	3377
830	16510	3357
831	16528	3337
832	16550	3318
833	16572	3298
834	16592	3278
835	16611	3258
836	16629	3238
837	16651	3218
838	16668	3198
839	16688	3178
840	16711	3159
841	16733	3140
842	16752	3119
843	16771	3100
844	16789	3079
845	16812	3060
846	16834	3040
847	16853	3020
848	16872	3000
849	16893	2981
850	16917	2962
851	16938	2942
852	16964	2923
853	16986	2904
854	17011	2884
855	17031	2865
856	17053	2845
857	17078	2826
858	17098	2806
859	17119	2786
860	17141	2767
861	17161	2747
862	17180	2727
863	17199	2707
864	17216	2686
865	17238	2667
866	17263	2648
867	17282	2628
868	17301	2608
869	17321	2588
870	17341	2568
871	17361	2548
872	17382	2528
873	17406	2509
874	17425	2489
875	17445	2469
876	17465	2449
877	17489	2430
878	17508	2410
879	17534	2391
880	17550	2370
881	17568	2350
882	17586	2330
883	17606	2310
884	17625	2290
885	17643	2270
886	17661	2250
887	17680	2229
888	17702	2210
889	17721	2190
890	17736	2169
891	17749	2149
892	17765	2128
893	17778	2107
894	17791	2087
895	17811	2067
896	17828	2047
897	17841	2026
898	17860	2006
899	17879	1986
900	17897	1966
901	17915	1946
902	17939	1927
903	17963	1907
904	17981	1887
905	17999	1867
906	18016	1847
907	18035	1827
908	18054	1807
909	18075	1787
910	18094	1767
911	18113	1747
912	18133	1727
913	18152	1708
914	18173	1688
915	18192	1668
916	18209	1648
917	18225	1628
918	18245	1608
919	18263	1588
920	18280	1567
921	18295	1547
922	18309	1527
923	18324	1507
924	18343	1487
925	18360	1467
926	18374	1446
927	18388	1426
928	18401	1406
929	18414	1386
930	18427	1365
931	18444	1345
932	18461	1325
933	18477	1305
934	18491	1285
935	18505	1265
936	18520	1245
937	18534	1225
938	18548	1204
939	18567	1185
940	18587	1165
941	18607	1145
942	18627	1125
943	18651	1106
944	18673	1086
945	18692	1066
946	18709	1047
947	18726	1027
948	18743	1007
949	18763	987
950	18781	967
951	18800	947
952	18816	928
953	18834	908
954	18851	888
955	18869	868
956	18886	848
957	18906	828
958	18924	809
959	18940	789
960	18959	769
961	18974	749
962	18993	729
963	19010	709
964	19031	690
965	19049	670
966	19067	650
967	19085	630
968	19103	611
969	19122	591
970	19137	571
971	19153	551
972	19169	531
973	19185	512
974	19203	492
975	19227	472
976	19245	453
977	19264	433
978	19285	413
979	19302	393
980	19325	374
981	19344	354
982	19365	334
983	19384	315
984	19400	295
985	19422	275
986	19441	256
987	19461	236
988	19479	216
989	19498	196
990	19516	177
991	19537	157
992	19557	137
993	19573	118
994	19591	98
995	19609	78
996	19627	59
997	19646	39
998	19670	19
999	19689	0
